river_mile,year,mean_z,mean_fine,mean_gravel,mean_cobble,mean_boulder_bed,mean_macro,mean_algae,site_number,site_code
6,2019,1.343548387,24.11290323,53.30645161,18.06451613,4.35483871,1.048387097,6.306451613,11,KAT
6,2020,1.532445902,26.66666667,58.5,13.16666667,3,3.916666667,21.25,11,KAT
6,2021,1.640322581,16.29032258,60,15.48387097,1.451612903,6.290322581,28.41935484,11,KAT
6,2022,1.613559322,16.61016949,63.22033898,18.13559322,2.033898305,2.542372881,27.37288136,11,KAT
43,2019,2.391525424,22.68518519,4.259259259,22.96296296,50.09259259,0.036363636,37,10,WE
43,2020,2.342523077,18.73015873,10.95238095,25.3968254,47.14285714,0.625,17.22222222,10,WE
43,2021,2.047619048,13.5483871,9.193548387,22.41935484,54.83870968,0.64516129,32.01612903,10,WE
43,2022,1.933333333,17.84313725,10.39215686,23.52941176,48.23529412,1.37254902,49.41176471,10,WE
59,2019,2.155172414,30.25862069,20,24.9137931,24.82758621,0,34.60344828,9,OR
59,2020,2.132443077,16.30769231,39.15384615,21.76923077,22.76923077,6,18.84615385,9,OR
59,2021,1.806060606,16.21212121,36.06060606,30.3030303,17.42424242,4.393939394,25.90909091,9,OR
59,2022,2.030645161,15.16129032,46.12903226,17.25806452,20.80645161,5.483870968,27.09677419,9,OR
76,2019,1.443636364,21.36363636,25.36363636,28.72727273,24.54545455,0,40.61818182,8,OMR
108,2019,1.153333333,10.75,50.16666667,26.08333333,13,5,30.91666667,7,HC
108,2020,1.396825397,14.76190476,47.61904762,24.6031746,13.01587302,11.09375,36.66666667,7,HC
108,2021,1.28030303,14.09090909,46.66666667,32.72727273,6.515151515,21.51515152,33.03030303,7,HC
108,2022,1.237878788,14.39393939,48.33333333,27.12121212,10.15151515,18.40909091,8.96969697,7,HC
128,2019,1.537096774,8.709677419,24.27419355,33.46774194,31.4516129,1.64516129,12.12903226,6,SV
128,2020,1.58125,8.90625,27.5,33.125,30.3125,13.4375,14.375,6,SV
128,2021,1.647619048,9.682539683,26.98412698,34.12698413,29.20634921,16.42857143,13.01587302,6,SV
128,2022,1.534848485,21.21212121,22.87878788,31.51515152,24.09090909,20.60606061,8.181818182,6,SV
136,2019,1.509433962,16.98113208,17.54716981,27.54716981,31.41509434,3.396226415,18.01886792,5,RP
136,2020,1.534920635,12.6984127,20.95238095,35.55555556,30.79365079,6.984126984,17.77777778,5,RP
136,2021,1.519354839,19.19354839,12.09677419,37.74193548,30.96774194,25,15.08064516,5,RP
136,2022,1.556666667,26.5,23.33333333,22.66666667,29.5,23.16666667,12.16666667,5,RP
150,2019,1.467857143,27.5,25.98214286,22.76785714,25.44642857,9.767857143,17.66071429,4,BB
150,2020,1.604615385,23.76923077,22.15384615,30.61538462,23.46153846,18.30769231,25.38461538,4,BB
150,2021,1.5515625,27.96875,21.5625,20,28.90625,27.65625,24.71875,4,BB
150,2022,1.621212121,25.75757576,32.42424242,18.93939394,22.87878788,25,17.87878788,4,BB
158,2020,1.3109375,18.984375,40.15625,29.765625,11.09375,19.6875,14.0625,3,WB
158,2021,1.421538462,18,34,38.46153846,9.538461538,26.30769231,21.61538462,3,WB
158,2022,1.4140625,17.34375,46.5625,25.625,10.625,23.59375,14.53125,3,WB
161,2019,1.442592593,8.981481481,33.88888889,30.83333333,23.88888889,12.10909091,23.85454545,3,ABC
172,2019,1.064150943,12.16981132,38.01886792,38.96226415,11.05769231,14.35849057,4.056603774,2,TH
172,2020,1.189830508,9.152542373,40.33898305,43.72881356,5.93220339,22.49152542,18.05084746,2,TH
172,2021,1.185,19.83606557,36.2295082,37.54098361,6.393442623,38.52459016,12.70491803,2,TH
172,2022,1.244444444,7.777777778,61.9047619,20.79365079,9.523809524,31.11111111,15.23809524,2,TH
179,2019,1.288636364,22.55813953,28.13953488,28.25581395,19.88372093,23.13953488,9.906976744,1,I5
179,2020,1.456603774,19.1509434,27.83018868,20.09433962,32.9245283,26.32075472,24.1509434,1,I5
179,2021,1.407017544,29.12280702,18.24561404,23.85964912,28.77192982,41.92982456,13.77192982,1,I5
179,2022,1.378333333,20.5,31.66666667,25,22.83333333,36.66666667,7.25,1,I5
