Station, Elevation
33.977109628, 120.43174312
33.9852797742, 120.467034579
33.9856065056, 120.440523917
33.9938107301, 120.488682861
34.0022889755, 120.538377708
34.0107205114, 120.61007177
34.0191237015, 120.676182333
34.0191387816, 120.713273881
34.0275949882, 120.772513751
34.0360027947, 120.839513806
34.0443765956, 120.903789072
34.0446434234, 120.934713265
34.0530885838, 120.986547226
34.061547533, 121.042374806
34.0619676494, 121.052579438
34.0705224918, 121.101221374
34.0790959445, 121.145968608
34.0882216104, 121.16530243
34.0967350364, 121.188428578
34.0988891618, 121.194649159
34.1073337426, 121.233077293
34.1157812303, 121.320318896
34.12422553, 121.366087943
34.1260612757, 121.37323684
34.1344058204, 121.423730993
34.1427771604, 121.462763179
34.1511926809, 121.480936411
34.1600401616, 121.48412971
34.1686256324, 121.480904281
34.1772475271, 121.47324922
34.1858950113, 121.446848644
34.1945498466, 121.416314648
34.1949698646, 121.40902265
34.2035513094, 121.445932876
34.2121325889, 121.512688046
34.2197887189, 121.566895761
34.2292199138, 121.60520132
34.2378059589, 121.606806349
34.2464054795, 121.571872276
34.2550066939, 121.52224453
34.2634162598, 121.53523844
34.2716391202, 121.609209347
34.2798591116, 121.624404188
34.2873858173, 121.594566229
34.2963432724, 121.583264622
34.3045206608, 121.60581148
34.3126786911, 121.613098289
34.320827617, 121.611911178
34.3290575486, 121.576401006
34.3371365524, 121.598595092
34.3453010689, 121.544193533
34.3529769537, 121.509997425
34.354293201, 121.576387275
34.3623654082, 121.693841742
34.3707181811, 121.590242231
34.3788879542, 121.57257644
34.3810345352, 121.813152909
34.3892995223, 121.83870135
34.397495631, 121.932581631
34.4055897269, 122.041590721
34.4084454006, 122.112773143
34.4148141058, 121.816844882
34.4176713884, 121.801598044
34.4259368322, 121.956842993
34.4345811883, 122.19786556
34.4432730043, 122.505386967
34.4520761901, 122.326805552
34.460688727, 122.301057543
34.4692134214, 122.09817759
34.4774492051, 122.247395904
34.4852672099, 122.270029248
34.4933652811, 122.890301796
34.5014763185, 123.002388782
34.5042808663, 122.868447662
34.5123907322, 122.944279889
34.5205173194, 123.019137046
34.5286551371, 123.062249142
34.5368005394, 123.164519178
34.5449507204, 123.258111723
34.5531173845, 123.32715046
34.5615660819, 123.343834096
34.5688869151, 123.296326245
34.5734543715, 123.355270345
34.5814874002, 123.340184126
34.5895450559, 123.390611263
34.5976066827, 123.441329894
34.6056688462, 123.555565071
34.613729217, 123.649251042
34.6183123939, 123.620961936
34.6263703535, 123.689334544
34.6344058806, 123.68476983
34.6424017617, 123.705497608
34.6503468655, 123.730946787
34.6549461797, 123.806578894
34.6619515417, 123.726677904
34.6702182784, 123.744816526
34.6784827436, 123.792664742
