Station, Elevation
33.977109628, 136.429402564
33.9852797742, 136.532760469
33.9856065056, 136.485016162
33.9938107301, 136.588313869
34.0022889755, 136.66308612
34.0107205114, 136.751328398
34.0191237015, 136.822455911
34.0191387816, 136.888182262
34.0275949882, 136.941580776
34.0360027947, 137.002823517
34.0443765956, 137.045984208
34.0446434234, 137.105441604
34.0530885838, 137.132491353
34.061547533, 137.151857429
34.0619676494, 137.204067192
34.0705224918, 137.201198745
34.0790959445, 137.19370236
34.0882216104, 137.134713372
34.0967350364, 137.061774787
34.0988891618, 137.042887829
34.1073337426, 136.982373997
34.1157812303, 137.047032145
34.12422553, 137.027094042
34.1260612757, 136.994098963
34.1344058204, 137.019130183
34.1427771604, 137.031948141
34.1511926809, 136.997513778
34.1600401616, 136.925211776
34.1686256324, 136.856311892
34.1772475271, 136.790290593
34.1858950113, 136.695710418
34.1945498466, 136.685986712
34.1949698646, 136.668302971
34.2035513094, 136.910875284
34.2121325889, 137.1344041
34.2197887189, 137.305793838
34.2292199138, 137.45731678
34.2378059589, 137.491814036
34.2464054795, 137.342693689
34.2550066939, 137.202278556
34.2634162598, 137.325777207
34.2716391202, 137.561266791
34.2798591116, 137.62961065
34.2873858173, 137.610305366
34.2963432724, 137.649853668
34.3045206608, 137.779253852
34.3126786911, 137.893231863
34.320827617, 138.010140194
34.3290575486, 137.983012108
34.3371365524, 138.074835508
34.3453010689, 138.039168198
34.3529769537, 138.043007286
34.354293201, 138.20169844
34.3623654082, 138.4950906
34.3707181811, 138.50775701
34.3788879542, 138.503081874
34.3810345352, 138.822755577
34.3892995223, 138.866254671
34.397495631, 138.960547352
34.4055897269, 139.156884755
34.4084454006, 139.228767212
34.4148141058, 138.918276375
34.4176713884, 138.980358718
34.4259368322, 139.031631502
34.4345811883, 139.118672805
34.4432730043, 139.381348258
34.4520761901, 139.20671059
34.460688727, 139.21045423
34.4692134214, 139.04566897
34.4774492051, 139.142079438
34.4852672099, 139.036811987
34.4933652811, 139.378393763
34.5014763185, 139.318933728
34.5042808663, 139.179976677
34.5123907322, 139.170635944
34.5205173194, 139.186574936
34.5286551371, 139.134614018
34.5368005394, 139.164728084
34.5449507204, 139.15693496
34.5531173845, 139.159112596
34.5615660819, 139.026067139
34.5688869151, 138.936479626
34.5734543715, 138.976913099
34.5814874002, 138.97664366
34.5895450559, 139.437149757
34.5976066827, 139.503098881
34.6056688462, 139.614636391
34.613729217, 139.72155838
34.6183123939, 139.710577532
34.6263703535, 139.900328105
34.6344058806, 139.906382584
34.6424017617, 139.894614069
34.6503468655, 139.940013333
34.6549461797, 140.082505204
34.6619515417, 139.926123243
34.6702182784, 139.999649467
34.6784827436, 140.097950236
34.6867444848, 139.99665082
34.6950039025, 140.259341023
34.7032621001, 140.444905788
34.7115188813, 140.595448953
34.7197758492, 140.800408963
34.7280323607, 140.84808006
34.7362447717, 140.981789046
34.7443897705, 140.95961786
34.752857529, 141.130703688
34.7588450806, 141.191873506
34.7608010777, 140.925598399
34.7681021189, 141.004070039
34.7757627091, 140.912992745
