Station, Elevation
33.977109628, 110.198663794
33.9852797742, 107.709126065
33.9856065056, 110.729017969
33.9938107301, 108.553863353
34.0022889755, 109.320608193
34.0107205114, 109.897349708
34.0191237015, 110.160093752
34.0191387816, 107.328990377
34.0275949882, 107.807459347
34.0360027947, 108.161555042
34.0443765956, 108.0839826
34.0446434234, 105.945316574
34.0530885838, 105.977029096
34.061547533, 105.887573676
34.0619676494, 104.65425421
34.0705224918, 104.725860517
34.0790959445, 104.823940123
34.0882216104, 104.841538494
34.0967350364, 105.144132328
34.0988891618, 106.013155327
34.1073337426, 105.885044976
34.1157812303, 105.586449558
34.12422553, 104.014976875
34.1260612757, 104.281597486
34.1344058204, 103.144395321
34.1427771604, 101.702649593
34.1511926809, 100.33610896
34.1600401616, 99.575969815
34.1686256324, 99.067354033
34.1772475271, 98.827853812
34.1858950113, 98.750478251
34.1945498466, 98.498618757
34.1949698646, 97.687469412
34.2035513094, 97.588959492
34.2121325889, 97.719788834
34.2197887189, 97.134946423
34.2292199138, 96.031741797
34.2378059589, 94.951624829
34.2464054795, 94.573671788
34.2550066939, 94.843895188
34.2634162598, 95.955363711
34.2716391202, 96.955158575
34.2798591116, 97.146369516
34.2873858173, 98.623835249
34.2963432724, 99.483363041
34.3045206608, 100.013800168
34.3126786911, 99.168112376
34.320827617, 99.14046526
34.3290575486, 100.27692729
34.3371365524, 103.152383348
34.3453010689, 105.405794723
34.3529769537, 108.371529315
34.354293201, 102.184522598
34.3623654082, 106.128418793
34.3707181811, 108.031197458
34.3788879542, 109.494167022
34.3810345352, 104.163516676
34.3892995223, 105.868064449
34.397495631, 107.170284473
34.4055897269, 107.839906834
34.4084454006, 97.937676504
34.4148141058, 99.054881799
34.4176713884, 106.187250468
34.4259368322, 105.544568754
34.4345811883, 106.839042504
34.4432730043, 107.197204376
34.4520761901, 104.402828096
34.460688727, 103.63427792
34.4692134214, 104.269849061
34.4774492051, 106.764468795
34.4852672099, 107.631100794
34.4933652811, 110.265857435
34.5014763185, 108.005316742
34.5042808663, 107.860448229
34.5123907322, 108.799530399
34.5205173194, 109.63461871
34.5286551371, 109.81327645
34.5368005394, 110.03038358
34.5449507204, 109.690511039
34.5531173845, 108.847808724
34.5615660819, 107.506745382
34.5688869151, 106.159191739
34.5734543715, 106.684816697
34.5814874002, 106.193097661
34.5895450559, 106.250294899
34.5976066827, 106.198194155
34.6056688462, 106.47686819
34.613729217, 106.578187971
34.6183123939, 105.924875321
34.6263703535, 105.351358543
34.6344058806, 104.418824364
34.6424017617, 103.41797129
34.6503468655, 102.456764199
34.6549461797, 104.848096355
34.6619515417, 101.755724009
34.6702182784, 102.95799171
34.6784827436, 102.825941524
34.6867444848, 100.914580497
34.6950039025, 100.833491579
34.7032621001, 99.221999717
34.7115188813, 98.581798075
34.7197758492, 98.951860309
34.7280323607, 98.860839845
34.7362447717, 100.506660435
34.7443897705, 101.688166506
34.752857529, 104.164853276
34.7588450806, 105.058524088
34.7608010777, 105.357314159
34.7681021189, 105.367803203
34.7757627091, 104.883087254
34.7835649434, 104.576255743
34.7913743484, 103.531847407
34.7991768157, 101.114314614
34.8069675705, 99.505963786
34.8147372133, 98.937008479
34.8224412551, 96.205677294
34.8298953863, 105.868262333
34.832707873, 95.889144303
34.8403261371, 96.654663693
34.8479302943, 100.258182719
34.8555036061, 100.182631413
34.8629878259, 99.01315193
34.8725612812, 98.514667283
34.878869624, 98.8702103
34.8852874731, 99.499723783
34.8917717089, 101.225263064
34.8982794553, 102.217484171
34.9047944825, 102.623412489
34.9113128154, 103.285556422
34.9178297162, 104.460657215
34.9243457565, 105.72672881
34.930860804, 105.959990741
34.9373743537, 106.48754718
34.9440738471, 106.704455806
34.9507463616, 106.546517654
34.9572752088, 106.710832853
34.9638065153, 106.449321152
34.9715375213, 106.290287299
34.9804455541, 105.75059012
34.9893570856, 105.551515561
34.998271886, 105.654960907
35.0071893556, 106.031834725
35.0161085248, 106.958567736
35.0250291826, 108.007498871
35.0339495629, 109.023655054
35.0426306015, 110.262479366
35.0514139528, 110.543464766
35.0601530868, 111.541016378
35.0640043589, 109.403660986
35.0728289329, 109.674766721
35.0815746495, 109.922537967
35.0909315395, 109.843668283
35.0994909388, 109.771143346
35.108158003, 109.885902766
35.1168527465, 109.910047166
35.1191298148, 111.554560027
35.1277584364, 110.389313913
35.1363802189, 109.61079096
35.1449907434, 108.866584317
35.1527427621, 107.627956381
35.1621680014, 106.39981017
35.1707504595, 106.0107983
35.1725619222, 105.814134563
35.1811191864, 104.308531671
35.1897627048, 103.025264682
35.1984328794, 101.531685854
35.2071006656, 99.309228986
35.2166751187, 96.429410986
35.224387985, 94.78037744
35.2326367801, 95.963019866
35.2406939443, 89.865874726
35.2414555331, 99.204192046
35.2494081921, 106.240514378
35.2573551725, 94.738491747
35.2653513934, 98.522532276
35.273685635, 97.80721334
35.2743085139, 107.166673132
35.2831790559, 107.992646341
35.2922169596, 103.767555975
35.3012372158, 103.88270117
35.3091946445, 98.719027601
35.3102524116, 103.564254814
35.3180943416, 103.339881917
35.3269942754, 100.817915475
35.3358944666, 105.374427776
35.3446060763, 103.717138365
35.3535092037, 102.969110164
35.3624174062, 99.975237576
35.3706685844, 98.690508446
35.3782804589, 97.621010146
35.3858881253, 97.688645971
35.3934823595, 97.198920897
35.401056907, 95.892506069
35.4086098133, 101.692593591
35.416146543, 102.899987996
35.4236772112, 104.009150639
35.4312061455, 103.610687141
35.4387357212, 102.743233653
35.4462658567, 101.491394795
35.4537899691, 101.345628474
35.4612916712, 99.86851754
35.4618864082, 93.939333029
35.4684993692, 93.214391323
35.4762950723, 93.929576937
35.4780872177, 111.016890041
35.4856476646, 113.49028376
35.493925537, 110.588013136
35.5029086784, 110.525845165
35.5119024847, 111.322170796
35.5197084979, 103.211976564
35.5209021067, 100.152838821
35.5287800924, 108.147914725
35.5378538539, 109.796308108
35.5469274185, 111.189318155
35.555997398, 112.574051444
35.5649867037, 114.51009701
35.5740533152, 115.904894868
35.5831148086, 117.162196298
35.5921735271, 117.594616241
35.6012311193, 117.419149666
35.6102892379, 117.224784181
35.6193458729, 116.986015508
35.6284021582, 114.894617774
35.6374583766, 112.972493611
35.6465180887, 112.031618988
35.6556611317, 110.656062927
35.6647165749, 109.456290059
35.6737658581, 108.890174952
35.6828154707, 108.226567319
35.6918728648, 106.938288206
35.7009372081, 105.670044245
35.7099935071, 104.54057623
35.7190246728, 102.350254376
35.7280232238, 98.70339081
35.7369919918, 96.841399506
35.7459427116, 95.442645453
35.7548840013, 95.037533586
35.7553249708, 97.807675956
35.7644899683, 96.692974672
35.7733170656, 96.720416761
35.782151766, 96.707780125
35.7910352466, 96.059486475
35.8000012033, 96.812706757
35.8090186035, 98.041759809
35.8180418743, 95.922174918
35.8270623991, 94.095792322
35.8360866957, 93.344445299
35.8447690174, 99.003499562
35.8451149689, 97.629314919
35.8538648408, 106.826794337
35.8629606502, 110.45434214
35.8710540661, 111.240952291
35.8733795919, 111.185490796
35.8821158723, 113.367280064
35.8909238263, 114.864908183
35.8998102059, 116.029204575
35.9087422205, 116.393329779
35.9177084526, 115.055545121
35.9267056631, 109.68503698
35.9357197456, 106.103819247
35.9447393775, 103.544908301
35.9537629269, 104.053303227
35.9627888464, 103.942590628
35.9724854954, 104.583882362
35.9810031722, 106.746891437
35.9899190387, 107.610525351
35.9922895908, 112.689536777
36.0014089494, 111.512147493
36.0079830279, 105.601014286
36.0104760566, 107.990545592
36.0169101921, 103.570467178
36.0257820721, 102.090927592
36.0346826874, 100.876369783
36.0436553807, 103.439618373
36.0520811262, 110.576931258
36.0610582959, 115.489311473
36.066904087, 110.269609619
36.0759110228, 113.777967041
36.0836721201, 114.043084546
36.0925326201, 113.1924403
36.0933539535, 115.300209573
36.10199478, 113.924323279
36.1106738687, 111.998769624
36.1193585837, 109.781318144
36.1280557108, 106.584097789
36.13595407, 109.759894197
36.142994351, 106.794972182
36.1500483089, 103.200991606
36.1571024461, 104.835891878
36.1643954208, 102.23333432
36.1715610804, 104.871124201
36.1787271231, 111.21599908
36.1858934647, 106.084093093
36.1941027791, 110.017416522
36.2033638902, 111.761602343
36.2126231094, 112.259266969
36.2218690538, 113.611298097
36.231076076, 113.583372917
36.2402344245, 113.174376021
36.2403180878, 110.007435845
36.2494758122, 109.234200028
36.2586162287, 109.362355561
36.2677456128, 109.664471183
36.2778008732, 109.6984077
36.2870604621, 110.263508915
36.2963259173, 110.064254713
36.3055957946, 108.610177784
36.3148716057, 106.474111358
36.3241626835, 106.122113807
36.3334700969, 107.259002521
36.3427785258, 109.359876132
36.3520818557, 108.853900121
36.3613843041, 109.973471636
36.3706864356, 111.267693424
36.3799880757, 111.834482142
36.3892901622, 112.578463039
36.3987219312, 114.594700719
36.4080204881, 115.634333932
36.4173197768, 115.616176952
36.426617569, 114.734619484
36.4359029708, 113.704570063
36.4451393429, 110.482468214
36.4543083902, 107.899626566
36.4568929802, 103.807866657
36.4659180992, 100.905084652
36.4748366018, 100.21928528
36.4837464947, 97.952684057
36.492641967, 98.186260753
36.4954766506, 92.883806504
36.504420281, 98.680477408
36.5133266008, 109.163162535
36.522280049, 116.756766149
36.5313493967, 121.060811713
36.5404256075, 123.40006121
36.5495101078, 125.008927389
36.5586080681, 126.036030396
36.5675470773, 129.114959728
36.5677198704, 126.355972279
36.576615696, 128.932388346
36.58568964, 128.53741024
36.5947650732, 128.148860075
36.6035171146, 127.044708646
36.6039195827, 124.76837136
36.612415217, 124.147939678
36.620900826, 123.585116137
36.6285289211, 122.467783616
36.6301244996, 124.20295489
36.6384498827, 122.89010364
36.646803488, 121.256698733
36.6551932267, 120.084025195
36.6636083178, 118.936189155
36.6720316309, 117.919891573
36.6804558189, 116.500791662
36.688880596, 115.470943671
36.6973054487, 115.173764532
36.7057296994, 114.150853402
36.7141542229, 113.276888998
36.7225790732, 112.006504616
36.7310037853, 110.892655659
36.7394283225, 112.301137471
36.7478528309, 110.401075518
36.7562778304, 109.568754926
36.7645770149, 112.652866988
36.7729889421, 113.313032444
36.7814198786, 113.523954766
36.7898194157, 114.151116008
36.7981671017, 113.561684125
36.8064956394, 112.507801673
36.8148212395, 113.566996429
36.8231465021, 115.042418073
36.8314717743, 116.282398212
36.8398016344, 116.738983333
36.8481694368, 116.292194571
36.8564883921, 115.985329741
36.8645985553, 116.710076162
36.8736470981, 117.852985596
36.8820295184, 118.51741052
36.8904262346, 118.828302101
36.8988333856, 119.919986185
36.9072023688, 119.462512389
36.9080998525, 114.012841698
36.9166576537, 118.532014606
36.9251943784, 116.74320004
36.9337001988, 119.510927116
36.9421262758, 121.967601274
36.9502942726, 122.768053432
36.9574603037, 126.577842215
36.9617872695, 123.009695735
36.9701303841, 124.462955794
36.9785330116, 125.094221068
36.986959204, 125.445927521
36.9954031772, 125.06529859
36.9987828524, 124.980402187
37.0070368919, 124.619396286
37.0153405011, 124.294370008
37.023671759, 124.285799233
37.0320081823, 123.793709057
37.0403443033, 124.712314483
37.0486425909, 127.658592307
37.0568548888, 129.39094498
37.0651897774, 129.827452041
37.0735324314, 129.497262747
37.081879595, 129.903224249
37.0902246209, 129.890463432
37.0985670517, 129.530728305
37.1066411494, 128.791002963
37.1144512709, 128.161191356
37.1222563208, 126.351691474
37.1300510063, 124.895420603
37.1378309422, 122.985045269
37.1455860911, 121.58211624
37.1534138946, 120.771567331
37.1610712867, 120.363460649
37.1687942958, 120.580327698
37.1765497333, 120.99873501
37.1779576558, 126.038185994
37.1854672185, 123.572286817
37.1929832881, 123.442391697
37.2005179004, 122.997649159
37.2080803275, 122.222746905
37.2156441477, 121.134826056
37.2231630177, 120.035960228
37.2306109787, 119.274022635
37.2381744487, 119.223805348
37.2395000297, 119.138873315
37.2454132279, 119.138766073
37.2470527097, 119.431411958
37.2546182516, 120.019585834
37.2621918455, 120.459292642
37.2697675563, 120.537964306
37.2773367881, 120.5682772
37.284523347, 119.379295919
37.2848922163, 120.165904027
37.2923219395, 119.292785231
37.3001092672, 119.204708953
37.3078867291, 118.850056904
37.3156585698, 118.345795974
37.3234973996, 118.158906754
37.3313229147, 117.776356329
37.3391504371, 117.585827331
37.3469795769, 117.881691908
37.3548100469, 117.105095802
37.3626142577, 117.115030778
37.3703914559, 116.99651229
37.3781611221, 117.838826715
37.3859288017, 118.367082951
37.3936950689, 119.357619237
37.4014623407, 118.761547688
37.409232128, 117.160891768
37.4166461041, 117.67618399
37.4170066733, 116.355968274
37.4242723983, 117.21824258
37.4324885119, 116.417673618
37.4400791438, 115.679297073
37.4476954125, 115.250740878
37.4553104433, 115.054931801
37.4629113169, 115.031849083
37.4704900561, 116.058514755
37.4780466542, 115.467424334
37.4855916862, 114.334288587
37.4931389106, 115.032062862
37.5006944419, 116.611837165
37.5082605495, 121.402820655
37.5091871688, 133.665865956
37.5169269729, 134.996942889
37.5246747728, 135.361217811
37.5324300019, 135.244923468
37.5404646004, 134.749988964
37.5492413745, 134.657121829
37.5575145699, 134.62713549
37.5658160419, 134.027276241
37.5741420627, 133.520295779
37.5824808959, 132.423017497
37.5908164839, 131.38267999
37.5991229437, 130.412124811
37.6073848904, 129.912365986
37.6148030335, 130.019506751
37.6156108992, 130.761794675
37.6232072838, 129.293798475
37.6316081814, 128.26253579
37.6399210099, 127.568143312
37.6484490524, 127.724079883
37.6569769814, 127.226128349
37.6655052456, 126.887450555
37.6740320042, 126.584917461
37.6825572369, 125.846255322
37.6910800853, 125.02664108
37.6995986999, 124.365436658
37.7081130619, 123.706930042
37.708404889, 124.194327015
37.7171121279, 125.84672887
37.72492957, 123.618884726
37.7335786481, 121.115503909
37.7351714025, 122.903291413
37.743617712, 122.607905785
37.7520591767, 121.717251239
37.7605080775, 121.277388379
37.7689592947, 121.760289613
37.7774118946, 121.007875844
37.7858709396, 124.030269535
37.7943436959, 123.640981259
37.8028292888, 123.107116719
37.8113217094, 122.200534124
37.819809551, 120.891586027
37.8282808674, 119.301547396
37.8367291155, 117.603774736
37.8451594388, 116.956887683
37.8535759352, 116.754228916
37.8619693517, 116.429792514
37.8708032175, 121.489187818
37.8793046336, 116.979584438
37.8878064118, 117.643276258
37.896308007, 115.896377331
37.9048077591, 115.052187087
37.913304629, 112.656059707
37.9217988714, 113.080438865
37.9302907365, 114.192946187
37.9387821638, 115.795273641
37.9472780069, 119.803617323
37.9557804402, 122.892141634
37.9642857907, 121.088662485
37.9725801707, 126.116332645
37.9806547374, 130.506036247
37.988711558, 130.624517558
37.9967488939, 121.889305325
38.0047912903, 114.305473399
38.0128232511, 113.68156959
38.0208525516, 118.214868056
38.028879172, 113.76647959
38.036907471, 120.266995649
38.0449522173, 117.126752569
38.0530152429, 117.621870414
38.06105546, 124.20616677
38.0690575701, 118.358546182
38.0770426416, 118.420866254
38.0851535099, 122.941725583
38.0932074952, 125.63795521
38.1012486709, 124.684045326
38.1093957448, 121.313604915
38.1110315169, 122.558368124
38.1193138011, 123.443619824
38.1262537971, 121.392932475
38.1289538282, 114.745235188
38.1369929887, 117.513761291
38.1451168033, 124.207530173
38.1533186089, 122.168185803
38.1615661044, 113.899958313
38.1698283467, 121.320667901
38.1780917876, 127.319639531
38.1806737423, 118.13954955
38.1889011683, 119.053749486
38.1971241953, 120.55286698
38.2053407378, 122.163923115
38.2137226565, 122.014404982
38.2219914447, 122.055291988
38.2302644507, 122.102461741
38.2385407024, 122.193428047
38.2468192324, 122.802535134
38.2471210174, 126.170389719
38.2554154776, 123.445703431
38.2637113741, 120.835092659
38.2720081732, 120.093126509
38.2803560893, 118.745928426
38.2887534297, 120.202474917
38.2971485263, 121.025599292
38.3055374767, 122.48523777
38.3139121276, 122.776133058
38.3149183352, 119.013907111
38.3235458517, 122.506844931
38.3319612602, 122.680362013
38.3403996993, 122.738997626
38.3488549945, 122.676332603
38.3573183097, 121.963841586
38.3657821915, 121.729719614
38.3742373985, 122.446415952
38.3826993348, 123.585159001
38.3911608921, 124.670611013
38.399622984, 126.095178134
38.408085568, 124.481978934
38.4165496309, 125.746292461
38.4250155157, 123.259152545
38.4334823, 121.993790067
38.4419889026, 120.881476896
38.4503825494, 122.079940102
38.4587655901, 132.287592517
38.4671406838, 124.699568782
38.4755110579, 127.911919421
38.477367501, 123.158573788
38.4859710201, 122.374820529
38.4948624302, 126.457328294
38.5037761992, 129.595295462
38.5127103703, 129.668505366
38.5216590399, 129.079191848
38.530616083, 127.770694496
38.5395776247, 126.149463709
38.5488047385, 125.476335513
38.5577573084, 124.894877607
38.566708696, 121.775693092
38.5756598367, 125.489720714
38.5846112316, 130.632203296
38.5935624777, 131.964858866
38.6025133769, 131.94061116
38.6114639437, 134.51211331
38.6204127279, 130.985763864
38.6293463688, 129.512756642
38.6382441929, 129.840787342
38.6384015399, 131.065092344
38.6473110278, 131.949895831
38.6560197882, 131.137580505
38.6648980302, 130.253621018
38.6739226186, 129.397272909
38.6829484232, 128.366018364
38.6919742588, 127.686562707
38.7010003888, 127.165276304
38.7100264432, 125.893209704
38.7190515964, 124.641870078
38.7280769209, 123.753679342
38.7371026293, 122.845379726
38.7461281264, 122.308509507
38.7551528646, 122.213792779
38.7641760989, 122.227008647
38.7731963456, 122.828673654
38.7813719959, 122.900146561
38.79135961, 123.076515959
38.8003894939, 124.441278296
38.8094190001, 124.35901887
38.818449024, 124.526437685
38.8272951545, 121.70521473
38.8274788725, 123.769029327
38.836391357, 120.999735908
38.8454910673, 121.247517293
38.8545909926, 120.99380813
38.863689192, 120.086962203
38.8727801191, 121.415261931
38.8818564492, 125.773516802
38.8908943949, 124.003206552
38.899979152, 125.692433226
38.9090699085, 123.876078286
38.9181659284, 123.376884018
38.9272646076, 122.533978307
38.9363631722, 122.429109129
38.9454619581, 121.941208295
38.9545603978, 122.333468737
38.9636591926, 122.360764883
38.9727580578, 121.783620583
38.9818565596, 121.242540127
38.9909542153, 121.24214705
39.0000520346, 121.326848459
39.0097900283, 121.165254357
39.0097900283, 127.767800839
39.0188185574, 119.707726292
39.0278597755, 123.295113205
39.0369041752, 125.771490341
39.0459520715, 126.623653973
39.0550070178, 126.80487901
39.0640753369, 126.588742855
39.0733082942, 126.1086021
39.074096709, 124.772716456
39.0834950639, 124.126544624
39.0928952104, 123.167279583
39.1022959147, 121.954934698
39.1116977605, 121.841370053
39.1220183806, 122.111871838
39.1305243052, 122.068595016
39.1399440615, 124.051153179
39.1493678123, 124.854865117
39.1587868705, 130.031973492
39.1681972342, 130.118117881
39.1775972544, 129.638483751
39.186988358, 129.553878147
39.196374667, 129.34949538
39.2057606752, 128.876628653
39.2151489661, 128.888676631
39.2235944335, 129.415583003
39.224539692, 129.610658833
39.2322441942, 130.113257597
39.234644192, 129.228759842
39.2439691975, 128.48454847
39.2532858203, 128.945978252
39.2625946492, 127.836182803
39.2718961169, 127.734136389
39.2811923503, 131.315146681
39.2836470539, 132.521759976
39.2929498972, 131.732351744
39.3022529566, 130.600111055
39.311556684, 131.320082993
39.3208602912, 133.557431296
39.323440446, 139.33680163
39.331627942, 132.144884447
39.3407333027, 133.786213956
39.3499182638, 135.992881256
39.350624201, 133.570511523
39.359908486, 134.039208358
39.3692641996, 134.254556268
39.378657726, 134.761239306
39.3880706861, 134.927279726
39.3975563174, 134.273266586
39.4069565933, 133.380861491
39.4163605886, 132.655051705
39.4257653597, 132.107685183
39.4351705112, 131.705495596
39.4445757578, 131.658848657
39.453980294, 131.642227988
39.4633855713, 131.105175872
39.4727891889, 129.738554645
39.4821883976, 128.408761409
39.4833067601, 130.00394233
39.4926877194, 129.215719915
39.502060077, 129.842078502
39.5114233733, 130.878699564
39.520689465, 132.969443549
39.530051208, 134.248401825
39.5394131399, 133.082042284
39.5487749869, 131.00743956
39.5492433126, 129.694961906
39.558621346, 128.290715312
39.56800371, 126.291409054
39.5773914364, 125.012036853
39.5867828487, 123.808264301
39.596172082, 122.589318824
39.6057452319, 121.229452948
39.6151414439, 120.871922516
39.6245401077, 120.084469284
39.6339410905, 122.050771642
39.6433430306, 128.120156603
39.6527450937, 131.904466131
39.6621477628, 136.613522768
39.6715505681, 136.294564569
39.6809534029, 138.662856402
39.6911746032, 125.4148802
39.6911746032, 136.290798655
39.7004695808, 136.897708332
39.7098073435, 138.690848203
39.719186988, 139.252223718
39.7285938114, 134.067002584
39.7380122305, 131.719637851
39.7474348392, 127.993524264
39.7568568281, 127.862753584
39.7667727767, 126.205864983
39.7757073643, 130.713819023
39.7851162868, 124.238255496
39.7945266857, 125.842874222
39.8039361314, 133.324326304
39.8133459745, 128.018421918
39.8227632119, 129.740284702
39.8321829317, 128.858156384
39.8412165077, 129.733267799
39.8505645679, 129.957251809
39.859945354, 135.231351676
39.8605179763, 126.977464214
39.8699064746, 134.048517644
39.8793037199, 129.679318578
39.8887044637, 128.814282484
39.898106382, 131.043514874
39.9075080077, 132.611187048
39.9169101443, 133.273300342
39.926312617, 133.289873665
39.9357166805, 134.327880111
39.9451334206, 134.52054611
39.9545340384, 135.465279874
39.963904165, 136.085156234
39.9732396946, 136.722788229
39.982363639, 131.259466579
39.982559393, 133.916447638
39.9917025087, 129.160350113
40.0010386276, 128.703828169
40.0102853777, 129.762817684
40.0195328723, 130.770004594
40.021809263, 128.489469769
40.0310715509, 130.104028476
40.0403421905, 131.712380616
40.049602517, 132.355357712
40.0587941028, 133.599846659
40.0610426118, 133.367923972
40.0700436277, 134.180197095
40.0789762485, 130.541884411
40.0882291995, 128.167436303
40.089483776, 124.071395212
40.0987634366, 121.855243187
40.1080856015, 119.497343376
40.1174383784, 119.678447237
40.1268097848, 120.82587868
40.1361904446, 122.014446121
40.1455736647, 122.190778897
40.1468432098, 141.612747839
40.1562369103, 137.988679517
40.1654941948, 137.581755805
