sample,dry_weight,a_axis,b_axis,total_volume,filter_volume,rock_paper_W,depth,20200825_DryW_Foil,20200826_AshW_Foil,AFDM_1,Flag_to_remove,notes
ABC01,0.1275,11,7,200,100,0.5931,0.6,1.1,1.0948,0.0052,0,NA
ABC02,0.1379,10,5,180,100,0.5082,0.6,1.0607,1.0468,0.0139,1,lost some filter material
ABC03,NA,9,7,400,NA,NA,0.8,NA,NA,NA,1,still wet
ABC04,0.1732,3,2,250,NA,NA,0.9,2.2701,1.9567,0.3134,1,plus: 0.9954; filter included in dry weight/afdm
BB01,0.1308,8.5,7,200,100,0.4311,0.3,0.6171,0.6105,0.0066,0,NA
BB02,0.1339,12.5,8,150,70,0.6985,0.4,0.6493,0.6415,0.0078,0,NA
BB03,0.1272,11.5,8.5,160,100,0.5182,0.5,0.6445,0.6388,0.0057,0,NA
BB04,0.125,11,5,180,120,0.4116,0.3,0.6434,0.6393,0.0041,0,NA
HC01,0.1223,9.5,7,100,40,0.4982,0.4,0.5531,0.549,0.0041,0,NA
HC02,0.1273,9,5,60,60,0.3743,0.4,0.6658,0.6604,0.0054,0,NA
HC03,0.1303,9,6,120,30,0.4256,0.6,0.5894,0.5818,0.0076,0,NA
HC04,0.1242,9.5,6.5,110,50,0.4816,0.3,0.5916,0.5862,0.0054,0,NA
I501,0.1335,12,8,310,130,0.7279,0.4,1.1374,1.1281,0.0093,0,NA
I502,0.1254,10,6,210,130,0.4633,0.7,1.1259,1.1209,0.005,1,lost some filter material
I503,NA,12,9,180,130,0.828,0.8,NA,NA,NA,1,still wet
I504,0.1354,10,5,270,130,0.3305,0.3,1.3168,1.3073,0.0095,0,NA
KAT01,0.1294,6,4,130,130,0.15,0.4,0.6935,0.6861,0.0074,0,NA
KAT02,0.1337,7.5,4.5,140,65,0.2569,0.3,1.0085,1.0025,0.006,0,NA
KAT03,0.1347,NA,NA,NA,NA,NA,NA,1.3351,1.3275,0.0076,1,NA
KAT04,0.1349,NA,NA,NA,NA,NA,NA,1.3399,1.3323,0.0076,1,NA
OMR01,0.1269,10,7,600,130,0.4979,0.4,1.1196,1.1157,0.0039,0,NA
OMR02,0.1296,11,9,300,130,0.5945,0.4,1.3131,1.3076,0.0055,0,NA
OMR03,0.1219,16,8,330,130,0.9946,2,1.0464,1.0428,0.0036,0,NA
OMR04,0.1299,11,7,200,130,0.6167,1.5,1.1911,1.1823,0.0088,0,NA
OR01,0.138,13,8,160,20,0.7991,0.3,0.5699,0.5614,0.0085,0,NA
OR02,0.1367,10,7,140,30,0.5173,0.3,0.748,0.7406,0.0074,0,NA
OR03,0.1319,10.5,5,100,60,0.4877,0.2,0.6459,0.6399,0.006,0,NA
OR04,0.1323,9,6.5,120,40,0.441,0.3,0.6817,0.6752,0.0065,0,NA
RP01,0.1296,12,8,170,50,0.7012,0.2,0.6441,0.6369,0.0072,0,NA
RP02,0.1308,6.5,5.5,100,70,0.2962,0.3,0.7463,0.7393,0.007,0,NA
RP03,0.1407,14.5,7.5,400,30,0.7692,0.5,0.607,0.5953,0.0117,0,NA
RP04,0.1354,8,7.5,140,30,0.4444,0.5,0.6503,0.6408,0.0095,0,NA
Salmon01,0.1347,12,9,100,100,0.8043,0.4,0.6517,0.6405,0.0112,0,NA
Salmon02,0.127,7,5,110,110,0.3269,0.4,0.5605,0.5543,0.0062,0,NA
Salmon03,0.1272,8,7,100,100,0.4222,0.6,0.5835,0.5781,0.0054,0,NA
Salmon04,0.1278,12,9,50,50,0.808,0.3,0.6172,0.6089,0.0083,0,NA
Scott01,0.132,8.5,7,160,15,0.4092,0.5,0.6859,0.6771,0.0088,0,NA
Scott02,0.1257,9,6,260,10,0.3772,0.6,0.6292,0.6228,0.0064,0,NA
Scott03,0.129,8,6,260,15,0.3727,0.7,0.636,0.6281,0.0079,0,NA
Scott04,0.1339,8,5.5,NA,20,0.3053,0.3,0.5408,0.5312,0.0096,0,NA
SV01,0.1389,9,5.5,150,40,0.3549,0.2,0.5765,0.5694,0.0071,0,NA
SV02,0.1397,11.5,9.5,300,40,0.8122,0.3,0.7244,0.7146,0.0098,0,NA
SV03,0.1285,13,10.5,110,50,0.926,0.6,0.6299,0.623,0.0069,0,NA
SV04,0.1405,9.5,5.5,120,40,0.4656,0.3,0.7349,0.7274,0.0075,0,NA
TH01,0.1343,9,7,260,140,0.5395,0.3,1.4833,1.4756,0.0077,0,NA
TH02,0.1219,16,11,180,130,1.3313,0.6,1.3456,1.3419,0.0037,0,NA
TH03,0.1218,10,10,170,130,0.5822,0.5,1.2417,1.2379,0.0038,0,NA
TH04,0.1208,9,8,170,130,0.5937,0.2,1.3248,1.6841,-0.3593,1,filter only = .1165
WE01,0.1437,10.5,5.5,210,20,0.4451,0.4,0.6457,0.6375,0.0082,0,NA
WE02,0.1325,9,5,200,25,0.3624,0.5,0.7925,0.7857,0.0068,0,NA
WE03,0.1977,6.5,6,160,30,0.2976,0.6,0.7339,0.7273,0.0066,0,NA
WE04,0.1386,7.5,6,290,40,0.3588,0.6,0.7638,0.7506,0.0132,0,NA
