date,site_name,site_code,site_number,transect,sample_letter,type,species,condition,depth_to_substrate_m,per_cover,plant_length_cm,sample_ID,dry_weight,color,photo_time,photo_folder_name,n_lat,w_long,depth_to_plant_m,thickness_cm,Foil_Dry_Mass_20200824,Weight_PostAsh20200826,AFDM_1,Weight2_PostAsh20200827,AFDM_2,AFDM_diff,per_decrease,Weight3_PostAsh20201203,AFDM_3,AFDM_diff_2_3,per_decrease2_3,Weight4_PostAsh20201204,AFDM_4,AFDM_diff_3_4,per_decrease3_4,Final_Weight,Ash_number
2019-06-28,Klamathon bridge,KB,0,1,c,plant,PORI,2,0.45,85,60,0-1-C,6.71,light-dark green,NA,NA,41.8992149,122.5083991,NA,NA,12.7,8.88,3.82,7.77,4.93,-1.11,23%,7.44,5.26,-0.33,6.30%,7.44,5.26,0,0.00%,7.44,4
2019-06-28,tree of heaven,TH,2,6,e,plant,POPE,2,0.2,100,100,2-6-E,8.53,NA,NA,NA,41.8311487,122.6611492,NA,NA,13.97,9.4,4.57,8.29,5.68,-1.11,20%,7.69,6.28,-0.6,9.60%,7.69,6.28,0,0.00%,7.69,4
2019-06-27,above I5 bridge,I5,1,6,a,plant,ELCA,1,0.6,100,60,1-6-A,18.41,NA,NA,2019_06_27_I5_biomass_GoPro,41.86407,122.56445,NA,NA,22.65,13.57,9.08,11.71,10.94,-1.86,17%,11.01,11.64,-0.7,6.00%,11,11.65,-0.01,0.10%,11,4
2019-06-28,tree of heaven,TH,2,6,b,plant,ELCA,1,0.2,100,30,2-6-B,17.11,NA,NA,NA,41.8310423,122.6613326,NA,NA,22.64,14.37,8.27,12.15,10.49,-2.22,21%,11.47,11.17,-0.68,6.10%,11.46,11.18,-0.01,0.10%,11.46,4
2019-07-04,Seiad Valley,SV,6,6,v,plant,ELCA,2,0.75,100,50,6-6-C,9.89,dark green,multi-spectral,check with Chippie,41.8539991,123.2314817,0.6,15,14.87,10.51,4.36,9.6,5.27,-0.91,17%,9.23,5.64,-0.37,6.60%,9.22,5.65,-0.01,0.20%,9.22,4
2019-07-08,orleans,OR,9,1,d,algae,CLAD,2,0.25,100,80,9-1-D,15.23,yellow green,multi-spectral,check with Chippie,41.3186657,123.5250404,0.15,3,20.81,16.99,3.82,16.15,4.66,-0.84,18%,15.53,5.28,-0.62,11.70%,15.52,5.29,-0.01,0.20%,15.52,4
2019-06-28,tree of heaven,TH,2,6,c,plant,ZAPA,1,0.3,100,20,2-6-C,6.91,brightest green,NA,NA,41.8310461,122.6613527,NA,NA,11.41,7.86,3.55,7.24,4.17,-0.62,15%,6.5,4.91,-0.74,15.10%,6.49,4.92,-0.01,0.20%,6.49,4
2019-06-28,tree of heaven,TH,2,6,a,plant,POCR,1,0.2,100,70,2-6-A,6.92,NA,NA,NA,41.8310331,122.6612391,NA,NA,11.87,8.17,3.7,7.26,4.61,-0.91,20%,6.85,5.02,-0.41,8.20%,6.81,5.06,-0.04,0.80%,6.81,4
2019-06-30,brown bear,BB,4,6,g,plant,POCR,2,0.5,100,60,4-6-G,7.51,green and red,NA,NA,41.8237764,122.961622,NA,NA,13.17,9.39,3.78,8.52,4.65,-0.87,19%,8.06,5.11,-0.46,9.00%,7.99,5.18,-0.07,1.40%,7.99,4
2019-06-28,tree of heaven,TH,2,6,g,plant,ZAPA,1,0.35,100,40,2-6-G,13.18,NA,NA,NA,41.8311442,122.6612743,NA,NA,17.33,11.4,5.93,10.11,7.22,-1.29,18%,9.47,7.86,-0.64,8.10%,9.29,8.04,-0.18,2.20%,9.29,4
2019-06-29,above beaver creek,ABC,3,6,d,plant,POPE,2,0.9,100,160,3-6-D,9.12,bright green,NA,NA,41.8674396,122.808953,NA,NA,14.99,10.53,4.46,9.37,5.62,-1.16,21%,8.91,6.08,-0.46,7.60%,8.76,6.23,-0.15,2.40%,8.76,4
2019-06-27,above I5 bridge,I5,1,3,b,plant,ELCA,2,0.6,100,100,1-3-B,11.49,NA,NA,2019_06_27_I5_biomass_GoPro,41.86991,122.55988,NA,NA,16.36,11.01,5.35,10.1,6.26,-0.91,15%,9.43,6.93,-0.67,9.70%,9.25,7.11,-0.18,2.50%,9.25,4
2019-06-29,above beaver creek,ABC,3,6,b,plant,POPE,2,0.9,85,130,3-6-B,4.84,bright green,NA,NA,41.8674156,122.8089349,NA,NA,10.92,8.32,2.6,7.78,3.14,-0.54,17%,7.54,3.38,-0.24,7.10%,7.45,3.47,-0.09,2.60%,7.45,4
2019-06-30,brown bear,BB,4,6,e,plant,ZAPA,1,1,100,20,4-6-E,11.72,lime green,NA,NA,41.8238629,122.9615875,NA,NA,16.81,10.44,6.37,9.52,7.29,-0.92,13%,8.6,8.21,-0.92,11.20%,8.06,8.75,-0.54,6.20%,8.06,4
2019-06-29,above beaver creek,ABC,3,6,c,plant,POCR,2,0.9,95,60,3-6-C,22.96,dark green,NA,NA,41.8674156,122.8089349,NA,NA,27.62,19.78,7.84,18.07,9.55,-1.71,18%,17.48,10.14,-0.59,5.80%,16.78,10.84,-0.7,6.50%,16.78,4
2019-07-09,weitchpec,WP,10,1,b,algae,CLAD,2,0.45,100,50,10-1-B,6.94,green,multi-spectral,check with Chippie,41.2293474,123.6520129,0.1,4,11.66,9.96,1.7,9.37,2.29,-0.59,26%,9.37,2.29,0,0.00%,NA,NA,NA,NA,9.37,3
2019-06-27,above I5 bridge,I5,1,3,c,plant,ELCA,2,0.3,100,50,1-3-C,13.45,NA,NA,2019_06_27_I5_biomass_GoPro,41.87018,122.55969,NA,NA,18.69,10.81,7.88,10.81,7.88,0,0%,10.8,7.89,-0.01,0.10%,NA,NA,NA,NA,10.8,3
2019-06-28,tree of heaven,TH,2,6,d,plant,POPE,1,0.3,80,140,2-6-D,4.16,bright green,NA,NA,41.8311502,122.6611717,NA,NA,9.63,7.4,2.23,6.56,3.07,-0.84,27%,6.55,3.08,-0.01,0.30%,NA,NA,NA,NA,6.55,3
2019-07-08,orleans,OR,9,1,b,algae,CLAD,3,0.2,100,55,9-1-B,9.28,yellow,multi-spectral,check with Chippie,41.3186853,123.5253254,0.1,2,14.64,13.09,1.55,12.58,2.06,-0.51,25%,12.57,2.07,-0.01,0.50%,NA,NA,NA,NA,12.57,3
2019-07-04,Seiad Valley,SV,6,6,d,plant,ELCA,2,0.3,100,45,6-6-D,18.73,dark green,multi-spectral,check with Chippie,41.8539991,123.2314817,0,30,24.27,20,4.27,18.49,5.78,-1.51,26%,18.46,5.81,-0.03,0.50%,NA,NA,NA,NA,18.46,3
2019-07-09,weitchpec,WP,10,1,a,algae,CLAD,2,0.4,100,100,10-1-A,15.7,green,multi-spectral,check with Chippie,41.2293474,123.6520129,0.02,5,20.63,18.01,2.62,17.04,3.59,-0.97,27%,17.02,3.61,-0.02,0.60%,NA,NA,NA,NA,17.02,3
2019-07-09,weitchpec,WP,10,1,c,algae,CLAD,3,0.35,100,100,10-1-C,19-Jan,green,multi-spectral,check with Chippie,41.2293474,123.6520129,0.1,3,25.08,21.25,3.83,19.8,5.28,-1.45,27%,19.76,5.32,-0.04,0.80%,NA,NA,NA,NA,19.76,3
2019-06-28,tree of heaven,TH,2,6,f,plant,ELCA,2,0.4,100,30,2-6-F,5.62,NA,NA,NA,41.8308819,122.6613038,NA,NA,11.42,8.78,2.64,7.95,3.47,-0.83,24%,7.92,3.5,-0.03,0.90%,NA,NA,NA,NA,7.92,3
2019-07-04,Seiad Valley,SV,6,6,e,algae,CLAD,3,0.3,100,75,6-6-E,11.52,light brown,multi-spectral,check with Chippie,41.8539991,123.2314817,0.29,1,17.28,15.7,1.58,15.04,2.24,-0.66,29%,15.02,2.26,-0.02,0.90%,NA,NA,NA,NA,15.02,3
2019-07-07,old man river,OMR,8,1,a,algae,CLAD,4,0.05,100,15,8-1-A,4.6874,yellow brown,multi-spectral,check with Chippie,41.4839174,123.5159042,0.01,2,10.48,9.15,1.33,8.78,1.7,-0.37,22%,8.76,1.72,-0.02,1.20%,NA,NA,NA,NA,8.76,3
2019-07-04,Seiad Valley,SV,6,6,a,plant,ELCA,2,0.5,100,50,6-6-A,5.59,dark green,multi-spectral,check with Chippie,41.8539991,123.2314817,0.02,20,10.71,8.06,2.65,7.41,3.3,-0.65,20%,7.36,3.35,-0.05,1.50%,NA,NA,NA,NA,7.36,3
2019-06-27,above I5 bridge,I5,1,6,c,plant,PORI,2,0.6,100,120,1-6-C,9.72,NA,NA,2019_06_27_I5_biomass_GoPro,41.86404,122.56441,NA,NA,15.08,9.44,5.64,8.54,6.54,-0.9,14%,8.35,6.73,-0.19,2.80%,NA,NA,NA,NA,8.35,3
2019-07-02,rocky point,RP,5,6,a,algae,sample A,1,0.6,100,1,5-6-A,48.86,dark green,multi-spectral,check with Chippie,41.8160209,123.1273731,0.6,1,53.19,49.2,3.99,47.64,5.55,-1.56,28%,47.46,5.73,-0.18,3.10%,NA,NA,NA,NA,47.46,3
2019-06-28,Klamathon bridge,KB,0,1,a,plant,POCR,3,0.2,55,50,0-1-A,2.94,rust,NA,NA,41.8992416,122.5083716,NA,NA,8.64,7.15,1.49,6.72,1.92,-0.43,22%,6.64,2,-0.08,4.00%,NA,NA,NA,NA,6.64,3
2019-06-30,brown bear,BB,4,6,c,plant,ZAPA,2,0.2,100,30,4-6-C,12.36,bright green,NA,NA,41.8234281,122.9618694,NA,NA,18.7,12.6,6.1,10.69,8.01,-1.91,24%,10.29,8.41,-0.4,4.80%,NA,NA,NA,NA,10.29,3
2019-06-27,above I5 bridge,I5,1,6,b,plant,PORI,2,0.3,90,80,1-6-B,2.88,NA,NA,2019_06_27_I5_biomass_GoPro,41.86407,122.56437,NA,NA,5.57,4.33,1.24,3.9,1.67,-0.43,26%,3.91,1.66,0.01,-0.60%,NA,NA,NA,NA,3.91,3
2019-06-27,above I5 bridge,I5,1,3,a,algae,OEDO,2,0,100,0.5,1-3-A,1.57,NA,NA,2019_06_27_I5_biomass_GoPro,41.86997,122.55988,NA,NA,4.9,4.06,0.84,3.88,1.02,-0.18,18%,3.88,1.02,0,0.00%,NA,NA,NA,NA,3.88,3
2019-06-27,above I5 bridge,I5,1,3,d,algae,ULOT,2,0.2,80,8,1-3-D,1.81,NA,NA,2019_06_27_I5_biomass_GoPro,41.8702,122.55972,NA,NA,4.39,3.94,0.45,3.88,0.51,-0.06,12%,3.88,0.51,0,0.00%,NA,NA,NA,NA,3.88,3
2019-06-27,above I5 bridge,I5,1,3,e,algae,ULOT,1,0.3,100,40,1-3-E,4.46,NA,NA,2019_06_27_I5_biomass_GoPro,41.87024,122.55969,NA,NA,7.45,5.84,1.61,5.4,2.05,-0.44,21%,5.4,2.05,0,0.00%,NA,NA,NA,NA,5.4,3
2019-06-28,Klamathon bridge,KB,0,1,b,algae,CLAD,1,0.25,100,50,0-1-B,2.67,bright green,NA,NA,41.8992286,122.5083743,NA,NA,8.66,7.31,1.35,6.77,1.89,-0.54,29%,6.77,1.89,0,0.00%,NA,NA,NA,NA,6.77,3
2019-06-29,above beaver creek,ABC,3,6,a,algae,ULOT,2,0.3,90,15,3-6-A,4.92,brown,NA,NA,41.8674116,122.8099447,NA,NA,10.1,8.88,1.22,8.5,1.6,-0.38,24%,8.43,1.67,-0.07,4.20%,NA,NA,NA,NA,8.43,3
2019-06-30,brown bear,BB,4,6,a,algae,CLAD,2,0.2,100,30,4-6-A,3.59,NA,NA,NA,41.82318,122.96146,NA,NA,6.13,4.86,1.27,4.47,1.66,-0.39,23%,4.47,1.66,0,0.00%,NA,NA,NA,NA,4.47,3
2019-06-30,brown bear,BB,4,6,b,algae,CLAD,3,0.2,100,30,4-6-B,3.64,NA,NA,NA,41.82321,122.96176,NA,NA,6.27,4.99,1.28,4.64,1.63,-0.35,21%,4.63,1.64,-0.01,0.60%,NA,NA,NA,NA,4.63,3
2019-06-30,brown bear,BB,4,6,d,plant,POCR,2,0.2,100,40,4-6-D,3.51,green and red,NA,NA,41.8236597,122.9616954,NA,NA,6.16,4.15,2.01,3.47,2.69,-0.68,25%,3.47,2.69,0,0.00%,NA,NA,NA,NA,3.47,3
2019-06-30,brown bear,BB,4,6,f,plant,POCR,3,0.45,90,40,4-6-F,2.02,rust,NA,NA,41.8235958,122.9618456,NA,NA,4.94,3.78,1.16,3.47,1.47,-0.31,21%,3.46,1.48,-0.01,0.70%,NA,NA,NA,NA,3.46,3
2019-07-02,rocky point,RP,5,6,b,plant,ELCA,2,0.6,100,45,5-6-B,foil wrecked,dark green,multi-spectral,check with Chippie,41.8160472,123.1273932,0.001,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-02,rocky point,RP,5,6,c,algae,ULOT,3,0.55,100,30,5-6-C,foil wrecked,rust,multi-spectral,check with Chippie,41.8160209,123.1273731,0.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-02,rocky point,RP,5,6,d,plant,POCR,2,0.55,100,40,5-6-D,foil wrecked,dark green,multi-spectral,check with Chippie,41.8160209,123.1273731,0.001,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-06,happy camp,HC,7,1,a,algae,CLAD,3,0.35,100,35,7-1-A,5.73,light brown,multi-spectral,check with Chippie,41.7931863,123.3683052,0.05,3,7.42,6.03,1.39,5.53,1.89,-0.5,26%,5.53,1.89,0,0.00%,NA,NA,NA,NA,5.53,3
2019-07-06,happy camp,HC,7,1,b,plant,ELCA,2,0.25,100,45,7-1-B,wet and rotten,dark green,multi-spectral,check with Chippie,41.7931908,123.3682512,0.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-06,happy camp,HC,7,1,c,algae,CLAD,2,0.4,100,70,7-1-C,wet and rotten,green,multi-spectral,check with Chippie,41.793257,123.3680176,0.35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-06,happy camp,HC,7,1,d,algae,CLAD,1,0.8,90,65,7-1-D,foil wrecked,bright green,multi-spectral,check with Chippie,41.7863321,123.3918544,0.55,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-06,happy camp,HC,7,1,e,algae,CLAD,4,0.3,100,50,7-1-E,wet and rotten,tan,multi-spectral,check with Chippie,41.7862326,123.3918185,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-04,Seiad Valley,SV,6,6,b,algae,CLAD,3,0.3,100,60,6-6-B,17.36,light brown,multi-spectral,check with Chippie,41.8539991,123.2314817,0.15,15,23.02,20.17,2.85,19.18,3.84,-0.99,26%,19.07,3.95,-0.11,2.80%,NA,NA,NA,NA,19.07,3
2019-07-07,old man river,OMR,8,1,b,algae,CLAD,3,0.15,100,60,8-1-B,9.53,yellow,multi-spectral,check with Chippie,41.4839124,123.5158556,0.1,1,15.84,13.68,2.16,12.95,2.89,-0.73,25%,12.95,2.89,0,0.00%,NA,NA,NA,NA,12.95,3
2019-07-07,old man river,OMR,8,1,c,algae,CLAD,3,0.4,100,60,8-1-C,3.81,yellow,multi-spectral,check with Chippie,41.4839106,123.51594,0.25,2,9.72,8.83,0.89,8.52,1.2,-0.31,26%,8.52,1.2,0,0.00%,NA,NA,NA,NA,8.52,3
2019-07-08,orleans,OR,9,1,a,algae,CLAD,3,0.35,100,100,9-1-A,3.85,yellow,multi-spectral,check with Chippie,41.3186909,123.525305,0.25,2,9.32,8.42,0.9,8.11,1.21,-0.31,26%,8.11,1.21,0,0.00%,NA,NA,NA,NA,8.11,3
2019-07-08,orleans,OR,9,1,c,algae,CLAD,2,0.35,100,45,9-1-C,26.9,yellow,multi-spectral,check with Chippie,41.3186654,123.5250612,0.1,3,32.6,29.33,3.27,28.36,4.24,-0.97,23%,28.14,4.46,-0.22,4.90%,NA,NA,NA,NA,28.14,3
