date,site_code,sample_ID,site_number,transect,type,species,condition,depth_m,per_cover,plant_length_cm,photo_time,wet_weight,bag_weight,wet_weight_nobag_bucket,sub_weight,sample_area,RockPaperW,dryW_cf_WB,weighboat,cf,dryW,dryW_foil_forAshing,Weight_PostAsh20201204,AFDM_1,Weight2_PostAsh20201204,AFDM_2,AFDM_diff,per_decrease,AFDM_CF
2020-07-08,TH,TH_ZAPA_1,2,NA,plant,ZAPA,2,0.3,100,50,NA,1089,15,1074,57,0.16,NA,13.38,6.72,0.67,5.99,12.26,8.94,3.32,8.89,3.37,-0.05,1.50%,0.6362
2020-07-08,TH,TH_ELCA_1,2,NA,plant,ELCA,2,0.6,100,50,NA,670,14,656,46,0.16,NA,14.92,6.73,0.65,7.54,13.76,10.71,3.05,10.63,3.13,-0.08,2.60%,0.6362
2020-07-10,RP,RP_ELCA_1,5,NA,plant,ELCA,2,1,100,100,NA,1266,26,1240,60,0.16,NA,14.17,6.74,0.66,6.77,10.67,5.14,5.53,5.12,5.55,-0.02,0.40%,0.6362
2020-07-15,HC,HC_ELCA_1,7,NA,plant,ELCA,2,0.2,90,25,NA,403,13,390,21,0.16,NA,10.43,7.07,0.68,2.68,8.77,7.14,1.63,7.14,1.63,0,0.00%,0.6362
2020-07-18,HC,HC-ELCA-2,7,NA,plant,ELCA,3,0.3,100,60,NA,1160,24,1136,43,0.16,NA,12.38,6.74,0.69,4.95,8.52,5.29,3.23,5.29,3.23,0,0.00%,0.6362
2020-07-18,I5,I5-ELCA-1,1,NA,plant,ELCA,2,0.4,100,25,NA,461,13,448,32,0.16,NA,11.93,6.74,0.66,4.53,8.42,5.92,2.5,5.92,2.5,0,0.00%,0.6362
2020-07-18,WB,WB-ELCA-1,3,NA,plant,ELCA,2,0.3,50,20,NA,175,13,162,28,0.16,NA,9.97,6.74,0.66,2.57,6.19,4.4,1.79,4.39,1.8,-0.01,0.60%,0.6362
2020-07-18,RP,RP-ELCA-2,3,NA,plant,ELCA,3,0.5,100,70,NA,975,24,951,34,0.16,NA,11.18,7.08,0.67,3.43,10.01,7.35,2.66,7.35,2.66,0,0.00%,0.6362
2020-07-18,RP,RP-ELCA-3,3,NA,plant,ELCA,3,0.7,100,80,NA,954,13,941,26,0.16,NA,10.63,7.07,0.67,2.89,6.38,3.97,2.41,3.97,2.41,0,0.00%,0.6362
2020-07-18,WB,WB-ELCA-2,2,NA,plant,ELCA,2,0.4,100,30,NA,479,13,466,25,0.16,NA,9.82,6.74,0.66,2.42,5.77,3.92,1.85,3.92,1.85,0,0.00%,0.6362
2020-07-18,I5,I5-PORI-1,1,NA,plant,PORI,2,0.5,100,60,NA,213,12,201,15,0.16,NA,9.72,7.08,0.67,1.97,5.25,3.64,1.61,3.64,1.61,0,0.00%,0.6362
2020-07-18,I5,I5-PORI-2,1,NA,plant,PORI,2,0.5,100,80,NA,622,16,606,20,0.16,NA,9.92,7.08,0.68,2.16,8.04,6.27,1.77,6.26,1.78,-0.01,0.60%,0.6362
2020-07-18,I5,I5-PORI-3,1,NA,plant,PORI,3,0.5,100,80,NA,752,13,739,18,0.16,NA,9.91,7.07,0.66,2.18,6.17,4.38,1.79,4.38,1.79,0,0.00%,0.6362
