"","site_number","spec_type","quads","river_mile","Cover.mean","Biomass.mean"
"1",1,"algae",43,179,8.81395348837209,5.20720526263509
"2",1,"biofilm",43,179,65.2093023255814,3.75163494349143
"3",1,"macrophyte",43,179,25.9767441860465,56.0677567310748
"4",2,"algae",53,172,4.24528301886792,3.79967630869744
"5",2,"biofilm",53,172,80.9811320754717,4.64004211121477
"6",2,"macrophyte",53,172,14.7735849056604,37.6483657667363
"7",3,"algae",55,161,21.1636363636364,15.5104319050395
"8",3,"biofilm",55,161,65.2727272727273,3.81993268833971
"9",3,"macrophyte",55,161,13.5636363636364,29.7091525038415
"10",4,"algae",56,150,17.8035714285714,18.7638734526177
"11",4,"biofilm",56,150,73.4107142857143,4.21186232526927
"12",4,"macrophyte",56,150,8.78571428571429,18.8685950788364
"13",5,"algae",53,136,17.9245283018868,14.8236264207198
"14",5,"biofilm",53,136,78.4528301886792,4.50108089865373
"15",5,"macrophyte",53,136,3.62264150943396,9.036970108558
"16",6,"algae",62,128,12.6129032258065,15.2330956201776
"17",6,"biofilm",62,128,85.741935483871,4.9128257551579
"18",6,"macrophyte",62,128,1.64516129032258,4.01637998111215
"19",7,"algae",60,108,31.4166666666667,27.7568287036037
"20",7,"biofilm",60,108,64.5,3.69570921649294
"21",7,"macrophyte",60,108,4.08333333333333,9.91697266784923
"22",8,"algae",55,76,49.8181818181818,38.9913162554805
"23",8,"biofilm",55,76,50.1818181818182,2.87530865046385
"24",8,"macrophyte",55,76,0,0
"25",9,"algae",58,59,24.4655172413793,16.6663688500855
"26",9,"biofilm",58,59,75.5344827586207,4.39271201173409
"27",9,"macrophyte",58,59,0,0
"28",10,"algae",55,43,34.4545454545455,30.0367399445623
"29",10,"biofilm",55,43,65.5090909090909,3.79478217014308
"30",10,"macrophyte",55,43,0.0363636363636364,0.0526186001251772
"31",11,"algae",62,6,6.11290322580645,3.09726098145077
"32",11,"biofilm",62,6,92.8387096774194,5.31945542638993
"33",11,"macrophyte",62,6,1.04838709677419,1.18178037378938
