site,value,stat
I5,19.889634049030477,max.gpp
TH,15.813797764399084,max.gpp
WB,16.132085189581012,max.gpp
BB,12.984685380978647,max.gpp
RP,18.967685396676437,max.gpp
SV,13.504246572034287,max.gpp
HC,17.457267920204714,max.gpp
OMR,17.035051393618136,max.gpp
OR,9.95664444561373,max.gpp
WE,11.609106577056382,max.gpp
KAT,6.695495962407094,max.gpp
I5,15.226545670517517,mean.gpp
TH,10.766998776140941,mean.gpp
WB,11.147573967407393,mean.gpp
BB,9.482797898219008,mean.gpp
RP,13.365641461464183,mean.gpp
SV,8.787246977883548,mean.gpp
HC,11.438217760820708,mean.gpp
OMR,12.5280193641077,mean.gpp
OR,7.716730836596595,mean.gpp
WE,8.492739958736369,mean.gpp
KAT,4.743907731246848,mean.gpp
I5,198,max.gpp.day
TH,199,max.gpp.day
WB,184,max.gpp.day
BB,210,max.gpp.day
RP,213,max.gpp.day
SV,216,max.gpp.day
HC,251,max.gpp.day
OMR,214,max.gpp.day
OR,200,max.gpp.day
WE,200,max.gpp.day
KAT,242,max.gpp.day
I5,193,green.up.day
I5,0.7401475909174806,green.up
TH,194,green.up.day
TH,0.624101079324797,green.up
WB,180,green.up.day
WB,0.4717605344455631,green.up
BB,194,green.up.day
BB,0.48029187409087903,green.up
RP,182,green.up.day
RP,0.62918807232737,green.up
SV,210,green.up.day
SV,0.5656232450794718,green.up
HC,240,green.up.day
HC,0.5533030290330476,green.up
OMR,208,green.up.day
OMR,0.588028632973117,green.up
OR,195,green.up.day
OR,0.46958867353148115,green.up
WE,194,green.up.day
WE,0.690368344008272,green.up
KAT,266,green.up.day
KAT,0.4082694523226973,green.up
I5,-15.1869606928203,mean.er
TH,-12.937175920470603,mean.er
WB,-10.5739978342271,mean.er
BB,-8.528503735551109,mean.er
RP,-9.548531437917983,mean.er
SV,-7.980824793827875,mean.er
HC,-9.355338581560524,mean.er
OMR,-7.83974923512656,mean.er
OR,-6.03315180139218,mean.er
WE,-6.517869713567343,mean.er
KAT,-4.755779614816449,mean.er
I5,0.03958497769721754,mean.nep
TH,-2.1701771443296622,mean.nep
WB,0.5735761331802929,mean.nep
BB,0.9542941626678993,mean.nep
RP,3.8171100235461983,mean.nep
SV,0.8064221840556726,mean.nep
HC,2.0828791792601837,mean.nep
OMR,4.688270128981138,mean.nep
OR,1.9430858399135316,mean.nep
WE,1.9748702451690263,mean.nep
KAT,-0.011871883569600295,mean.nep
I5,0.1901070069202095,cv.gpp
TH,0.27200366315402524,cv.gpp
WB,0.26329478369329457,cv.gpp
BB,0.27491196667102386,cv.gpp
RP,0.2414154056968821,cv.gpp
SV,0.24937414456548784,cv.gpp
HC,0.29212461772665826,cv.gpp
OMR,0.28550446642305666,cv.gpp
OR,0.22528675384466074,cv.gpp
WE,0.25126308150254534,cv.gpp
KAT,0.24609433878792064,cv.gpp
I5,0.053451268521976174,rbi.gpp
TH,0.07757036955682253,rbi.gpp
WB,0.07110042114409315,rbi.gpp
BB,0.06549606514672099,rbi.gpp
RP,0.06120685868266907,rbi.gpp
SV,0.06493636498665545,rbi.gpp
HC,0.08793130458493259,rbi.gpp
OMR,0.08108697046004458,rbi.gpp
OR,0.08591353055000246,rbi.gpp
WE,0.08297937790621888,rbi.gpp
KAT,0.1160446326755971,rbi.gpp
