date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2019-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,data don't start when expected
2019-06-16,3.3300928484364936,2.4580367649471144,4.1189315608163515,-4.067933071942764,-5.2809059979406765,-2.813708396953119,4.923603681923321,4.403418976235061,5.4978564088725586,overall warnings,
2019-06-17,3.4416664084755575,2.5711748856318883,4.24944017971554,-4.0122884508965395,-5.200247327596949,-2.766326593699265,4.909603849859237,4.287346190335942,5.503325171445736,overall warnings,
2019-06-18,3.67761808456659,2.844867170809394,4.491168028911562,-3.943867437182099,-5.101886077633655,-2.7945102911785686,5.05665237392323,4.502912158446102,5.70078445259385,overall warnings,
2019-06-19,3.600489529727951,2.814020418105037,4.396354534879996,-3.810525379018472,-4.899081669971286,-2.6429289904456894,5.006972648863923,4.472454370522033,5.667895170083717,overall warnings,
2019-06-20,3.538248509300034,2.6256801865716084,4.429520615691324,-3.2525850647866363,-4.506520240023051,-1.9741403796391772,4.970986746932429,4.409534714731661,5.579570845403715,overall warnings,
2019-06-21,3.7836953020848156,2.9823167406007554,4.664142605307159,-3.569084822668704,-4.748265193590203,-2.40761010184207,4.986111996577753,4.466542802345575,5.569770365380547,overall warnings,
2019-06-22,4.255543131585409,3.409224700817755,5.131089875662137,-4.067405305939726,-5.204758798206825,-2.910341627341449,5.136736858611272,4.568990998760728,5.80563263808466,overall warnings,
2019-06-23,4.8414760287809475,3.9291523029186353,5.706453261169689,-4.6294567813505765,-5.942970481917062,-3.3828318057867315,5.146715475409067,4.633417883852687,5.790829284119974,overall warnings,
2019-06-24,4.753236436912845,3.9694218327414803,5.58354373416595,-4.8415637751443406,-5.999083653629321,-3.664479533699194,5.008399176188075,4.4312894698609036,5.609105615274701,overall warnings,
2019-06-25,4.559882180931936,3.656762787811031,5.429379209214051,-4.854045366783885,-6.075816735679827,-3.5589789111219,4.917271307199977,4.358271116480221,5.526757214054156,overall warnings,
2019-06-26,4.325668808204092,3.476642452385757,5.20915113595347,-3.806862662709851,-5.009201609813188,-2.6299472230761256,5.1392365998943355,4.605808556605363,5.839132227507762,overall warnings,
2019-06-27,4.65153494017337,3.7365776809843934,5.517022875847827,-3.9155858728222963,-5.121508144526114,-2.6969796279274316,5.10220676233307,4.54894344695603,5.795381110448495,overall warnings,
2019-06-28,5.330349162896576,4.424847652365097,6.214751711362145,-4.630396095058945,-5.882945589428024,-3.445965892962185,5.168670931535199,4.621329446985709,5.830835888006857,overall warnings,
2019-06-29,5.397394515383499,4.470535484024136,6.323278007414796,-4.564354828073721,-5.793889833802208,-3.3297468239577164,5.146731208751502,4.5315928034956645,5.812499253697961,overall warnings,
2019-06-30,5.801202416746354,4.897967066531366,6.670240166976216,-5.236563145226065,-6.420998045768383,-3.9873197438550303,5.220130681541015,4.695160727572895,5.863788866247707,overall warnings,
2019-07-01,5.819325250001412,4.915511976762291,6.711132332401247,-4.9833370093198415,-6.160413304131026,-3.721631540529996,5.142933983785692,4.6367013552615,5.772506646935092,overall warnings,
2019-07-02,6.068247648007063,5.250108629687679,6.9477233641378575,-5.616863649542733,-6.7573611936551154,-4.505864678709354,5.148362927990799,4.5963607114286145,5.749484934431645,overall warnings,
2019-07-03,5.860903731078792,4.984999816368448,6.695655281478719,-5.850349021489521,-6.986416650646702,-4.697602925559855,5.046189875009503,4.567856566952205,5.612142655277115,overall warnings,
2019-07-04,6.234097149942956,5.35180787517787,7.040573127696626,-5.98327232551684,-7.083566094233483,-4.842589802354505,5.025358176061685,4.523113012142165,5.641549596651693,overall warnings,
2019-07-05,6.482032167571262,5.641620535884525,7.3319715743776825,-6.183897031180948,-7.370241905363493,-4.983543149191727,4.956575761474904,4.483072397170469,5.491206838765929,overall warnings,
2019-07-06,6.288983802574995,5.372978611077057,7.13552875290486,-5.921369954691099,-7.120279372054417,-4.742170849084152,4.945613275028435,4.455605832164377,5.522671359034179,overall warnings,
2019-07-07,6.4000784832932105,5.534160748273744,7.284357459628495,-6.161101947114016,-7.37026683068947,-4.939113192520629,4.935479251285207,4.4119558203988065,5.4706788380717715,overall warnings,
2019-07-08,6.272484454354528,5.389143668642462,7.159523861353005,-6.006201479126049,-7.309954818733765,-4.854307203770038,4.972309957361871,4.445129908082743,5.51389142354207,overall warnings,
2019-07-09,5.074050003828381,4.246405013393602,5.947912240951171,-4.99056613157566,-6.240127007290569,-3.841903228402758,4.988532783756746,4.4164571727039,5.606722204029797,overall warnings,
2019-07-10,6.277861517187471,5.417919590508777,7.124658008076606,-5.849646637632423,-7.008735356181464,-4.660658337908049,4.9186449757774255,4.445324686126343,5.470681013948661,overall warnings,
2019-07-11,6.412086005042021,5.583723033662186,7.284864938423357,-6.603865653021182,-7.856206252107163,-5.329572133673681,4.936556510344909,4.446511624091756,5.442253054449101,overall warnings,
2019-07-12,6.211961711338452,5.307595516637684,7.104295410373958,-6.404207707689352,-7.668302108734673,-5.174716019494545,4.797670130259162,4.274884081839516,5.26113035135091,overall warnings,
2019-07-13,6.8018390079088915,5.896606647813963,7.679341610123532,-7.330688329057237,-8.656520866033492,-6.061434464721037,4.914149114684189,4.42104752757549,5.46447834778741,overall warnings,
2019-07-14,6.081615425435082,5.193921905871399,6.95793292016562,-6.229215810888044,-7.467398809209449,-5.003943684911835,4.906694712017124,4.366570217944944,5.4424916362284925,overall warnings,
2019-07-15,6.30604232168575,5.514526983855577,7.168940765945464,-6.091353194192916,-7.250867975057209,-4.995703093407269,4.979648963446214,4.444378096167939,5.527235996733153,overall warnings,
2019-07-16,6.0926572909455246,5.230447077816872,6.9401252724315565,-7.071813471737952,-8.178969427187312,-5.8360467087995165,4.650374583683582,4.1349035060498585,5.159797980980366,overall warnings,
2019-07-17,6.689376941887715,5.811624969728962,7.559274538114384,-7.143007293848649,-8.364636121130294,-5.937202308323199,4.694364091055872,4.179584668824269,5.196812724749769,overall warnings,
2019-07-18,6.716407372946609,5.82958316101636,7.622555665070708,-6.145199630892256,-7.385287324916465,-4.999696003515132,4.846355892273445,4.359545120923167,5.323504006103328,overall warnings,
2019-07-19,6.831514313812388,5.954975702672931,7.674435981231607,-6.433415993879658,-7.662523184127234,-5.29109261881361,4.7635612294392935,4.281551269092349,5.204891026154157,overall warnings,
2019-07-20,7.005628717901104,6.126952147186126,7.8870363330731,-6.488835477985166,-7.6457431539936005,-5.353424577901021,4.801739750042347,4.276183242882955,5.2771926833131335,overall warnings,
2019-07-21,7.103292827047113,6.238915072676235,7.950174022863992,-6.508251415802521,-7.630859603326827,-5.395298269255152,4.725734851421756,4.226549268070751,5.213842066039147,overall warnings,
2019-07-22,7.108524555698587,6.29455842918477,7.960540726245491,-6.564551890875236,-7.7693237391628855,-5.471734383583876,4.754764014003131,4.262262529539846,5.196707536681467,overall warnings,
2019-07-23,6.923210164756908,6.060802556520391,7.823512119315681,-6.043740570235334,-7.268099171258772,-4.857380854663605,4.690428704237579,4.177548597070882,5.15229944861324,overall warnings,
2019-07-24,7.26486479803815,6.407402395967115,8.090080433852599,-6.5989955899042965,-7.73067752186366,-5.430571517696268,4.758646947925508,4.2745321766485365,5.222393029667989,overall warnings,
2019-07-25,7.547123958335115,6.701551238309648,8.413949841951437,-7.2858901600429,-8.504974058435135,-6.15337968777189,4.830106619707846,4.33183909360275,5.306456167401209,overall warnings,
2019-07-26,7.9064263471062795,7.06583700353254,8.71874226128197,-7.106434102393132,-8.204196969565,-5.943725059523048,4.671754705079225,4.149387064312603,5.15680301360911,overall warnings,
2019-07-27,8.58118457793103,7.746904236963005,9.461711247385166,-7.918432684232531,-9.090926485968499,-6.700848179350154,4.682453181756557,4.229572701113943,5.146979233077449,overall warnings,
2019-07-28,9.058191084881322,8.249553779213205,9.932626836985001,-8.2417699530343,-9.413359009411788,-7.077148756711749,4.757751831321926,4.316707536885474,5.210646911448449,overall warnings,
2019-07-29,9.13104798428158,8.27210806863201,10.00092823574269,-7.858508405587002,-9.06144039683901,-6.673847221532971,4.677487401000032,4.239767492515329,5.111166618677677,overall warnings,
2019-07-30,9.646640220966031,8.831927891730285,10.550641841658589,-8.432449757952195,-9.63005366789163,-7.320447021852463,4.677809787540587,4.249584564143506,5.093835880722244,overall warnings,
2019-07-31,10.189072036343559,9.292796925643382,11.082669820049876,-8.555286899946346,-9.685996049435952,-7.353100974961332,4.719238064643651,4.270761948762971,5.145913209577996,overall warnings,
2019-08-01,10.669512726052854,9.798222160713296,11.460906030714227,-8.793706360829795,-9.89677409459969,-7.599125339236181,4.652185861899382,4.226651739681361,5.049767678174042,overall warnings,
2019-08-02,11.136715904308797,10.289579125171873,12.010054321297574,-9.017606906817093,-10.172089441156704,-7.888144680292855,4.707299328951491,4.32043154253057,5.113740030293341,overall warnings,
2019-08-03,11.745206454763295,10.866034860764305,12.597164588462476,-9.753959512329027,-10.900679917495484,-8.607911485520177,4.715605048775598,4.316353945266712,5.123229562697356,overall warnings,
2019-08-04,11.997407814172238,11.124964582851074,12.872953519178848,-10.116349029924919,-11.364638358384619,-8.941751767236584,4.613226270908974,4.19966072402406,5.019357042119169,overall warnings,
2019-08-05,12.156987601176205,11.253098226809533,12.985873117784967,-10.373265491277582,-11.520386693130357,-9.099205733962846,4.630031174626066,4.253263161523941,5.030482647736763,overall warnings,
2019-08-06,12.121072035041118,11.238772186970923,13.032800360304458,-10.504931768901745,-11.626060768447301,-9.407479674175155,4.698452264771415,4.311986154741203,5.100774809095908,overall warnings,
2019-08-07,11.845354263731952,10.87453450396654,12.72047903685229,-10.156494027551734,-11.387726266427048,-8.884350094838165,4.700066488854581,4.281520028181834,5.09795454605259,overall warnings,
2019-08-08,11.131121425835984,10.234338840292594,12.070693882346976,-9.705802150661933,-10.950481419419374,-8.557086760557803,4.7279314486026305,4.319798638478486,5.1494073101690905,overall warnings,
2019-08-09,8.589248353697409,7.715060705942608,9.464171667359206,-8.204457956003376,-9.452793490036242,-6.976277565626942,4.947927857296323,4.50601524207306,5.4625456374631804,overall warnings,
2019-08-10,8.047004480703498,7.210216470012165,8.89270899816846,-7.407805642847652,-8.576440752912148,-6.181024059037185,4.996946535804391,4.537942720697168,5.541141413386634,overall warnings,
2019-08-11,8.911235867165487,8.073701386683528,9.68307040531772,-8.494245267063333,-9.580800551526005,-7.309214611768336,5.0039445923146335,4.530840737456999,5.492993223277184,overall warnings,
2019-08-12,9.413888221778391,8.483921637620396,10.2915268622946,-9.082825419191522,-10.281088923009678,-7.8487779311041805,5.1115050926300745,4.625038562191934,5.632451905620984,overall warnings,
2019-08-13,9.413081669793964,8.507457414472524,10.291311231748065,-9.175413999273275,-10.374084268734885,-7.959122659022622,5.020754926609058,4.564407783171467,5.516446122978288,overall warnings,
2019-08-14,9.086899073659994,8.225813821203584,9.898570612774247,-8.903409297950645,-10.079606385874168,-7.716520211355472,4.977755041492832,4.555652625924335,5.454671806874162,overall warnings,
